##general,,,,,,,,,,,,
version,max_downlink_commands,,,,,,,,,,,
1,5,,,,,,,,,,,
##models,,,,,,,,,,,,
name,selectors,,,,,,,,,,,
all,{ mId: power-elec-6 },,,,,,,,,,,
##objects,,,,,,,,,,,,
id,name,value,type,access_mode,value_type,precision,units,cov_increment,min_value,max_value,models,description
channel_data:0:values:e_act_index,C1 act energy,0,number,R,FLOAT,3,Wh,1,,,all,Active energy index connector 1 (Wh)
channel_data:1:values:e_act_index,C2 act energy,0,number,R,FLOAT,3,Wh,1,,,all,Active energy index connector 2 (Wh)
channel_data:2:values:e_act_index,C3 act energy,0,number,R,FLOAT,3,Wh,1,,,all,Active energy index connector 3 (Wh)
channel_data:3:values:e_act_index,C4 act energy,0,number,R,FLOAT,3,Wh,1,,,all,Active energy index connector 4 (Wh)
channel_data:4:values:e_act_index,C5 act energy,0,number,R,FLOAT,3,Wh,1,,,all,Active energy index connector 5 (Wh)
channel_data:5:values:e_act_index,C6 act energy,0,number,R,FLOAT,3,Wh,1,,,all,Active energy index connector 6 (Wh)
channel_data:0:values:e_react_index,CH1 react energy,0,number,R,FLOAT,3,VAh,1,,,all,Reactive energy index channel 1 (VArh)
channel_data:1:values:e_react_index,CH2 react energy,0,number,R,FLOAT,3,VAh,1,,,all,Reactive energy index channel 2 (VArh)
channel_data:2:values:e_react_index,CH3 react energy,0,number,R,FLOAT,3,VAh,1,,,all,Reactive energy index channel 3 (VArh)
channel_data:3:values:e_react_index,CH4 react energy,0,number,R,FLOAT,3,VAh,1,,,all,Reactive energy index channel 4 (VArh)
channel_data:4:values:e_react_index,CH5 react energy,0,number,R,FLOAT,3,VAh,1,,,all,Reactive energy index channel 5 (VArh)
channel_data:5:values:e_react_index,CH6 react energy,0,number,R,FLOAT,3,VAh,1,,,all,Reactive energy index channel 6 (VArh)
channel_data:0:values:e_act_counter,CH1 act counter,0,number,R,FLOAT,3,Wh,1,,,all,Active energy pulse counter channel 1 (Wh)
channel_data:1:values:e_act_counter,CH2 act counter,0,number,R,FLOAT,3,Wh,1,,,all,Active energy pulse counter channel 2 (Wh)
channel_data:2:values:e_act_counter,CH3 act counter,0,number,R,FLOAT,3,Wh,1,,,all,Active energy pulse counter channel 3 (Wh)
channel_data:3:values:e_act_counter,CH4 act counter,0,number,R,FLOAT,3,Wh,1,,,all,Active energy pulse counter channel 4 (Wh)
channel_data:4:values:e_act_counter,CH5 act counter,0,number,R,FLOAT,3,Wh,1,,,all,Active energy pulse counter channel 5 (Wh)
channel_data:5:values:e_act_counter,CH6 act counter,0,number,R,FLOAT,3,Wh,1,,,all,Active energy pulse counter channel 6 (Wh)
channel_data:0:values:e_react-_counter,CH1 react- counter,0,number,R,FLOAT,3,VAh,1,,,all,Negative reactive energy counter channel 1 (VArh)
channel_data:1:values:e_react-_counter,CH2 react- counter,0,number,R,FLOAT,3,VAh,1,,,all,Negative reactive energy counter channel 2 (VArh)
channel_data:2:values:e_react-_counter,CH3 react- counter,0,number,R,FLOAT,3,VAh,1,,,all,Negative reactive energy counter channel 3 (VArh)
channel_data:3:values:e_react-_counter,CH4 react- counter,0,number,R,FLOAT,3,VAh,1,,,all,Negative reactive energy counter channel 4 (VArh)
channel_data:4:values:e_react-_counter,CH5 react- counter,0,number,R,FLOAT,3,VAh,1,,,all,Negative reactive energy counter channel 5 (VArh)
channel_data:5:values:e_react-_counter,CH6 react- counter,0,number,R,FLOAT,3,VAh,1,,,all,Negative reactive energy counter channel 6 (VArh)
channel_data:0:values:e_react+_counter,CH1 react+ counter,0,number,R,FLOAT,3,VAh,1,,,all,Positive reactive energy counter channel 1 (VArh)
channel_data:1:values:e_react+_counter,CH2 react+ counter,0,number,R,FLOAT,3,VAh,1,,,all,Positive reactive energy counter channel 2 (VArh)
channel_data:2:values:e_react+_counter,CH3 react+ counter,0,number,R,FLOAT,3,VAh,1,,,all,Positive reactive energy counter channel 3 (VArh)
channel_data:3:values:e_react+_counter,CH4 react+ counter,0,number,R,FLOAT,3,VAh,1,,,all,Positive reactive energy counter channel 4 (VArh)
channel_data:4:values:e_react+_counter,CH5 react+ counter,0,number,R,FLOAT,3,VAh,1,,,all,Positive reactive energy counter channel 5 (VArh)
channel_data:5:values:e_react+_counter,CH6 react+ counter,0,number,R,FLOAT,3,VAh,1,,,all,Positive reactive energy counter channel 6 (VArh)
